business_slug,price_code,weight_from_kg,weight_to_kg,price_from,price_to,currency,source_url,observed_at,notes
psi-salon-vesela-labka-ruzinov,full_groom,,5,40,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes do 5 kg (od 40 €)
psi-salon-vesela-labka-ruzinov,full_groom,5,15,50,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes od 5-15 kg (od 50 €)
psi-salon-vesela-labka-ruzinov,full_groom,15,25,60,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes od 15-25 kg (od 60 €)
psi-salon-vesela-labka-ruzinov,bath_dry,,5,27,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie malý pes do 5 kg (od 27 € / 60 min)
psi-salon-vesela-labka-ruzinov,bath_dry,5,15,35,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie stredný pes 5-15 kg (od 35 € / 90 min)
psi-salon-vesela-labka-ruzinov,bath_dry,15,25,45,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie veľký pes 15-25 kg (od 45 € / 120 min)
psi-salon-vesela-labka-ruzinov,hand_stripping,,,25,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Trimovanie: každá začatá hodina 25 €
psi-salon-vesela-labka-petrzalka,full_groom,,,40,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,"podľa veľkosti psa (MINI/SMALL/MEDIUM), bez hmotnosti v cenníku; Kompletná úprava malý pes (od 40 €); Kompletná úprava stredný pes (od 50 €); Kompletná úprava veľký pes (od 60 €)"
psi-salon-vesela-labka-petrzalka,bath_dry,,,20,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,"podľa veľkosti psa (MINI/SMALL/MEDIUM), bez hmotnosti v cenníku; Kúpanie malý pes (od 20 €); Kúpanie stredný pes (od 25 €); Kúpanie veľký pes (od 30 €)"
psi-salon-vesela-labka-petrzalka,hand_stripping,,,25,,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Trimovanie: 25 € za hodinu
dog-culture,bath_dry,,,34,74,EUR,https://dogculture.sk/#cennik,2026-09-20,"podľa veľkosti psa (SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Kúpanie & česanie (veľkosť S); Kúpanie & česanie (veľkosť M); Kúpanie & česanie (veľkosť L); Kúpanie & česanie (veľkosť XL)"
